text|is_offensive|target
Almanya Almanlar için Türkiye Türkler için|1|RACIST
kalbi orospu olanın bacak arası teferruattır|1|PROFANITY
anan sikesen|1|PROFANITY
favori kış sporun nedir|0|OTHER
Sen kadınsın motor sürmek neyine|1|SEXIST
yapılan araştırmalara göre i̇ran nüfusunun %61ini farslar %16sını azerbaycan türkleri %10unu kürtler %6sını lurlar %2sini beluciler %2sini araplar ve kalan %2yi de kaşkay türkleri ve diğer türkmen grupları oluşturuyor|0|OTHER
senin burada ne işin var it|1|INSULT
Vasat karı bir işide beceremez misin ?|1|INSULT
Onun bir hırsız olması muhtemel|1|INSULT
çok fazla varyasyon gösterirler|0|OTHER
Kadınların beyninin sağ yarısı daha aktif olduğu için detaylı işlerin üstesinden daha iyi gelirler|1|SEXIST
çünkü bir süre sonra kalıplara sıkıştırmaya çalışılmak insanları daraltır o zaman sıkıştıran kalıpların tümünü yıkmak için daha çok istek duyar|0|OTHER
Künefeye benziyorsun dışın tatlı fakat için kaşar|1|PROFANITY
karı gibi gülüyor|1|SEXIST
Ebenin ammına ağaç dikeyim gölgesinde serinliyeyim|1|PROFANITY
Koy götüne rahvan gitsin|1|PROFANITY
yani çöküşün arefesi demektir|0|OTHER
artık önüm açık olmalıydı|0|OTHER
taşşaklarını patlattığım bizimle alay ediyor|1|PROFANITY
z|1|SEXIST
Kadınların çalışma hayatındaki temsil oranlarının arttırılması gerektiğini savunuyorum.|0|other
leş insanın birisin|1|INSULT
kimse bana suriyelileri savunmasın|1|RACIST
akşama kadar evdesin ne iş yaptın da& yoruldun be= kadın|1|SEXIST
İspanyollar kötü kokuyor|1|RACIST
Hayatında medeniyet görmemiş|1|INSULT
erkekler kadınları anlamaz|1|SEXIST
adam gibi oku|1|SEXIST
yuvarlatılmış formları ve şeffaf dış yüzeyi ile de tam bir estetik harikası|0|OTHER
böylelikle parçalanma devam ediyor|0|OTHER
devletin şefkat elini vatandaşın sırtında olacak|0|OTHER
pezevenk misin|1|PROFANITY
onlar sizi affedecek mi|0|OTHER
tahta gibi göğüsler|1|INSULT
Erkeklik uğruna mahvetti hayatını|1|SEXIST
peki ya temel haklar|0|OTHER
fakülte kurulunun kararı ve üniversite senatosunun onayı ile gerektiğinde yaz okulu açılabilir|0|OTHER
amcık hoşafı|1|PROFANITY
yıllık ortalamanın yüz otuz üç lira ve üzeri olması gerekir|0|OTHER
mikrosefal piçi|1|PROFANITY
Kızım o adam gerçekten tam bir aptal ne buluyorsun onda anlamıyorum|1|INSULT
Gayler iğrenç insanlardır|1|SEXIST
götü başı ayrı oynuyor|1|PROFANITY
Anan seni doğuracağına dereye bir taş atsaymış|1|INSULT
ancak bunların hiçbiri olmuyor|0|OTHER
onların telkin ettiği kavga kıskançlık ve birbirine girme dediğim kötülük huylarıdır devamlı yaptıkları budur|0|OTHER
kara suları iç sular ve bunların altındaki yerler bu tahdide tabi değildir|0|OTHER
onlar yurumeye devam ettiler|0|OTHER
benim ümidim ve motivasyonum altüst olmuştu|0|OTHER
suriyeliler yobazdır|1|RACIST
aşılama yönteminde ise kraliçe arı bölmelerine işçi arı gözlerinden genç larvalar transfer ediliyor|0|OTHER
Türkler gibi bencil olmaya mı karar verdin sen?|1|RACIST
benim bir zenci arkadaşım var, aşırı pis kokuyor|1|RACIST
bacaklarını kırarım senin|1|INSULT
hanzo> gibisin=|1|INSULT
Hükümetin beceriksizliğini vatan Hainliği ile suçluyor Alçak herif|1|INSULT
kafan basmıyor mı laz aklı mı var sende?|1|RACIST
aldığın ölçü gavur ölçüsü gibi|1|RACIST
daha sonra ağabeyimi kaybettik|0|OTHER
Konya Kuludaki yaşan insanların çoğu kürt|1|RACIST
senin karını eşşekler siksin|1|PROFANITY
yarramın kurma kolu|1|PROFANITY
Adana felahı gibisin|1|RACIST
Ben dertten sen zevkten ah çektin şerefini sikeyim|1|PROFANITY
beyaz tenli olmanın çok zorlukları var|0|OTHER
%10 civarı oyu olan İyi partiye bok muamelesi çekmiş bok kafalı herif. Çikmis incenin oyu 2 3 diye bıdı bıdı yapıyor mk.|1|PROFANITY
YA BU PEZEVENK O KADAR GORUNMUYO (filmde nasil bilmiyorum izlemedim daha) AMA VOK SEVIYORUM LAN BUNU|1|PROFANITY
Keşke zamanında baban ananın amına yanmış odun sokup duman çıkarsaymış da sen çıkmasaydın|1|PROFANITY
çingene misin|1|RACIST
müslüman olmadığı için dışlandı|1|RACIST
karı gibi makyaj mı yaptın|1|SEXIST
Ortalığın amına koymuşsunuz|1|PROFANITY
döküm ve toz metal parçalardaki mikro gözenekler basınç kaçaklarına ve kötü yüzey kalitesine neden olabilir|0|OTHER
tipinde meymenet yok|1|INSULT
kirpiğinin ortasına sıçayım|1|PROFANITY
kadının teliyle oyun oynanmaz|1|SEXIST
hülya avşar içi geçmiş juri üyelikten asla keyif almadığı belli.oyunculara tiksinir gibi davranıyor.hülya gitsin bence gerdi hepimizi#YıldızDeBana|1|INSULT
Tam bir kuş beyinlinin teki|1|INSULT
özkan sağ kenarı biraz canlandırdı|0|OTHER
kocanı bırakıp nasıl gidersin toplantılara|1|SEXIST
Müslümanlardan nefret ediyorum|1|RACIST
beyninin tasını sikeyim|1|PROFANITY
Ağaçtan maşa kürtten paşa olmazmış|1|RACIST
delikanlı gibi ne diyeceksen yüzüme söyle|0|OTHER
bir aracı çok yakından izlemeyin|0|OTHER
üşüyen öğrencilere öğretmenler ve veliler montlarını vererek ısıtmaya çalıştılar|0|OTHER
Yüzü çirkin diye götünü memeni açmana gerek yok|1|PROFANITY
travesti misin lan|1|PROFANITY
kadın eşine itaat etmelidir|1|SEXIST
Kadınlara önemli işler verilmez|1|SEXIST
Çingene beygire binince paşa oldum sanırmış|1|RACIST
Kadınların toplumdaki liderlik rollerinde daha fazla yer alması gerektiğine inanıyorum.|0|other
Doğulular kız çocuklarını okutmaz|1|RACIST
bi bu isin var bunuda beceremiyorsun|1|INSULT
rüzgar zaman tersinden esmeye başlayacak|0|OTHER
bu tarafgirlik bağı& veya boyutu& değildir|0|OTHER
Türkler kadar kurnaz olamaz|1|RACIST
meymenetsiz uzaklas yanimdan|1|INSULT
odtü mimarlık bölümünden mezun olduktan sonra uzun yıllar orkestralarda bateri ve gitar çaldı solistlik yaptı|0|OTHER
k|1|INSULT
ayrıca şehir genelinde yüzlerce ticari taksi de hizmet vermektedir|0|OTHER
Sana mı kaldım sus|1|INSULT
kadınlar bize Allahın emanetidir kendilerini koruyamazlar|1|SEXIST
aidat vermek zorunda değildirler|0|OTHER
haçlı orduları- bu kaleyi almak için hücumlar yaptılar|0|OTHER
Öyle sefilsin ki sefiller bile senden daha onurlu|1|INSULT
Dolmanaki yemeği Yunanlıların Türkler den çaldığı dolma yemeğidir|1|RACIST
yeni romanınız topraktan bahsedelim|0|OTHER
Kadın ancak nezaketini ve yumuşak tarafını göstermelidir onların erkekler varken güçlü görünmelerine gerek yoktur|1|SEXIST
sana diploma veren kağıdı üretebilmek için kendini feda eden ağacın kağıda dönüşen yaprağını sikeyim|1|PROFANITY
Suriyeliler sıkıldık ve bıktık ya|1|RACIST
avradını siktiğimin çocuğu|1|PROFANITY
bahsi geçen bu şehrin ismiyle ilgili bir veri henüz yoktur|0|OTHER
onu da hesaplaman şart|0|OTHER
götüne kodumun kara taşaklısı|1|PROFANITY
Kadınlar çiçektir narindirler|1|SEXIST
mevcudiyetini sikeyim|1|PROFANITY
osman zamanında devlet işlerinde etkinliği arttı|0|OTHER
Tıpkı fransızlar gibi Fransızca da kaba bir dil|1|RACIST
Küçücük boyu var türkü türlü huyu var|1|INSULT
ananını bir sikerim baban ayakta alkışlar|1|PROFANITY
Erkekler birden fazla kadınla olabilir|1|SEXIST
belirtilen anlamdaki teknoloji gruplarından birisinde uygun bulunan ve kullanılan strateji ve teknikler başka teknolojiler içinde yararlı olabilir|0|OTHER
kadın ağlıyordu çünkü on iki yıl önce ölmüş olan rahmetlisi onu hep döverdi|0|OTHER
kalite> sistemi- kalite= yönetiminin uygulanması için gerekli olan kuruluş= yapısı. sorumluluklar< prosedürler> işlemler- ve kaynaklardır|0|OTHER
Suriyeliler tüp bebek tedavisinden ücretsiz yararlanıyor|1|RACIST
sloganlar eşliğinde eylemlerini sürdüren göstericiler daha sonra gözaltına alındı|0|OTHER
erkek gibi kadından değil kadın gibi erkekten kork|1|SEXIST
gereken modüllerle bütünleşik çalışmaktadır|0|OTHER
ancak bana geri dönmediler|0|OTHER
Bunu kızlar bile yapar|1|SEXIST
ben bir şey söyleyeceğim sizlere sizleri çok seviyorum|0|OTHER
zenciler giremez|1|RACIST
safkan= değilim-|1|RACIST
çok sevdiğim müzikler var|0|OTHER
bel kemiğini sikeyim|1|PROFANITY
Bunca yıl körü siksen gözü açılırdı|1|PROFANITY
siyaset kurumunun iç işleyişindeki olumsuzluklar ülkemizin hayatı derecede önemli sorunlarının çözümünü güçleştirmektedir|0|OTHER
yarrağımı kaldırabilen tek kişi sensin|1|PROFANITY
yamuk tip|1|INSULT
ayılar gibi kış uykusuna mı yattın|1|INSULT
doğulular kaosu sever|1|RACIST
kadınlar yalnızca dedikodu yapmayı sever|1|SEXIST
elinin hamuruyla adamın işine karşma|1|SEXIST
Bıldırcın gibi hatun|1|SEXIST
bir düdüğü çok daha uzun süre çalabilirsiniz ve düdüğün sesi çok daha uzağa ulaşabilir|0|OTHER
beynindeki olmayan tahtayı sikeyim|1|PROFANITY
oyunculuk ve diğer sanat eğitimlerimizi almanız için öncesinde herhangi bir ders almanıza gerek yok|0|OTHER
Çürük çıktın sende|1|INSULT
Gavurun dölü|1|RACIST
kadın nedir ki hakları olsun|1|SEXIST
O laflar bayır aşağı girsin götüne dinazor taşşağı|1|PROFANITY
yakıcı güneş ve sıcaklıklar sebebiyle halk arasında güneş gözlüğü kullanımı gittikçe artarken uzmanlar kalitesiz gözlüklerin zararlarına dikkat çekiyor|0|OTHER
Sikenin sevildigi bir dunyada sevip de biz mi sikilelim|1|PROFANITY
yaş grubu ve cinsiyet fark etmeden bu sorunu yaşayan herkes saç ekimi yöntemini kullanabilir ve yaşadığı sorunu hayatından tamamen çıkarabilir|0|OTHER
Kocam isterse calisirim|1|SEXIST
püşürük çorbası yerken hapşıran kadın ezik zeytini masadan kaldıran kocasına teşekkür etti|0|OTHER
Olm sen kürtaj gazisi misin lan|1|PROFANITY
halen ne yuzle durabiliyorsunuz|0|OTHER
tarla> olsan ekilmezsin arpa= olsan, biçilmezsin,|1|INSULT
kadınlar futboldan ne anlar|1|SEXIST
prof öztürk konuyla ilgili sorularımızı yanıtladı|0|OTHER
kadından yazılımcı olmaz|1|SEXIST
seni cisim zanneden yerçekimini sikeyim|1|PROFANITY
Mülteciler sözde din kardeşimiz hırsızlıkta yağmacılıkta başı çekiyorlar|1|RACIST
kızartılan kabakları kağıt havlu serilmiş tabağa koyun|0|OTHER
mavi kart hamili eski vatandaşlarımızın gerekli duyarlılığı ve anlayışı göstermeleri ve görevli memurlarımıza yardımcı olmaları beklenmektedir|0|OTHER
ceza evinde gayet az okudum|0|OTHER
iç güzelliğin bile seni kurtarmaz|1|INSULT
bizim zaten şansımız dönse götümüze girer|1|PROFANITY
öğrencilerimizin tüm ihtiyaçları düşünülerek ve geleceğin aydın neslini yetiştirmek için hiçbir fedakarlıktan kaçınılmadı|0|OTHER
pısırık bir sevgili istemem|1|INSULT
tüm birimleri uygun sıcaklıkta tutabilecek merkezi ısıtma sistemi bulundurulur|0|OTHER
ayakkabısı yırtık orospu çocuğu|1|PROFANITY
guam çukuru|1|INSULT
Top musun|1|SEXIST
Kadınlar ve erkekler eşit haklara sahip olmalı, bu evrensel bir gerekliliktir.|0|other
Evlat olsa sevilmez bu ne çirkinlik|1|INSULT
Yaziklar olsun sana adanin ekmeyini yiyorsun orosbu cocugu seni|1|PROFANITY
Araplar haindir.|1|RACIST
Mal mısın oğlum o dediğini yapamayız|1|INSULT
bu aşağılık insana artık akıl ermiyor|1|INSULT
ne oldu annenden izin alamadın mı|1|INSULT
Tecavüzcü coşkun bile senden daha az röntgen çekmiştir|1|INSULT
erkek dediğin kıvırmaz erkek ol az|1|SEXIST
çok yapmacıksın|1|INSULT
eşeksen banane git dağdaki bokları ye|1|INSULT
epsilon chinin kızları bahar tatiline gitmek istiyor ama umutsuzca kırıldı|0|OTHER
Nerede bir kürt varsaiki sürt bir dürt|1|RACIST
erkek dediğin kıllı olur|1|SEXIST
senin mehtabını sikerim|1|PROFANITY
okulun kuruluş döneminde eğitim temellerinin sağlam atıldığını görmenin gururunu yaşadığını söyleyen prof|0|OTHER
ananın kafasında tavla kırarım|1|PROFANITY
Erkeğin olduğu yerde kadın hesap mı öder?|1|SEXIST
al kızını koy çuvala salla salla vur duvara|1|SEXIST
Farklı ırklara sahip insanların birlikte çalışması, daha zengin bir kültürel miras oluşturur.|0|other
zorunluluk olmadikca gorevden cekilemezler|0|OTHER
ama gün gelir istediklerini alabilmek için işaret yerine asıl sözcüklere benzeterek kendilerine özgü yeni sözcükler üretirler|0|OTHER
eğitimin tamamına katılım zorunludur|0|OTHER
kurutma kalite ve renk açısından çok büyük önem taşıyor|0|OTHER
kadınlar çok para harcar|1|SEXIST
Kabileni sikeyim|1|PROFANITY
sığır gibi oldun|1|INSULT
Benide yarak atın ilk https://twitter.com/kizpornosex/status/1640589533866602504…|1|PROFANITY
Çingene misin fırlama|1|RACIST
çevredeki altın madenleri de ekonomik açıdan önem taşır|0|OTHER
Öyle güçlü bir adam ki sikiyle ceviz kırar|1|PROFANITY
"Bir yandan üreten insanlar yoksullaşırken,
diğer yandan üretmeden yaşayan asalak insanların servetinin artmaya devam etmesi son 21 yılda güzel ülkemize damgasını vuran bir gelişmedir.
Bu kötü gidişe kahraman
#KadınlarDurDiyecek"|1|INSULT
yüksek maliyetli transferler yapmak istemiyoruz|0|OTHER
Aday sünni olursa oy vermem|1|RACIST
afrika amerika asya ve avustralyada geleneksel dinlere inanan 400 milyon kişi (yüzde 6) var|0|OTHER
Hayvanat bahçesinde görsem fıstık atmam|1|INSULT
amina kodumun got contasi|1|PROFANITY
uzayın ananızı sikerim|1|PROFANITY
güncelleme çalışmaları devam etmektedir|0|OTHER
Kes sesini artık yarak kafalı.|1|PROFANITY
şimdi halkın arasına karışıp insanları kandırmaya çalışıyorlar|0|OTHER
l|1|RACIST
sende az orospu değilsin|1|PROFANITY
bizim mal insanlara verecek cevabımız yok|1|INSULT
baskında sahte dişçilerle ilgili işlem yapılırken malzemelerine de el konuldu|0|OTHER
Çok konuşan bizi ve yorumcuyuda sıkan cırtlak sesli spikeriniz yüzünden 5 dk.dayanabildim lütfen eleştirilere çare bulun.|1|INSULT
ananızın da babanızın da amına koyim bizene lan ananız babanız nereli olduklarından amına koyduğum çocukları|1|PROFANITY
Kürt çaldığı zaman çingene oynarmış|1|RACIST
Sirkette herkes onu dislardi|1|INSULT
Kör gözünü sikeyim senin|1|PROFANITY
kadının dediğin yüksek sesle konuşmaz|1|SEXIST
çorap kokundan burnum sızladı|1|INSULT
ödeme sonrasında ödenen ücretin öğrenci tarafından onaylanması gerekmektedir|0|OTHER
Kürtler hırsız olur|1|RACIST
Erkek dediğin tamirden anlamalı|1|SEXIST
Kadınların her alanda başarılı olmasını bekleyemezsin|1|SEXIST
umarım mezun adaylarımızın durumu böyle değildir|0|OTHER
Kız dediğin ne  istediğini bilicek|1|SEXIST
Seninle aynı şehirde nefes bile alınmaz.|1|INSULT
sana üç boyutlu gözlük takar seni sikerimüç kişi sikiyor zannedersin|1|PROFANITY
batılı ibneler gibi gevşek gevşek davranma|1|RACIST
kışkırtıcı koku ile benzersiz olun|0|OTHER
kadın okuyup kariyer düşünmemeli|1|SEXIST
ananın amına korum|1|PROFANITY
elektrik olmadığında yazıcıya güç verirmiş|0|OTHER
Latinler Amerikada statü sahibi olmak için kendilerini Amerikalı görüp Latin kimliklerini gizlemeye çalışmaktadır|1|RACIST
giderek irtifa kaybeden bir takım ve futbolu bırakmış medyayla didişen bir teknik direktör|0|OTHER
Bahtı sikik piyade|1|PROFANITY
Mal gibi bakma öyle.|1|INSULT
çok kısa basit bir kitap on kural ve üç anahtar var|0|OTHER
Hitler Yahudilere hakettiğinden daha nazik davranıyordu|1|RACIST
 |0|SEXIST
Fakirin karnı doydu mu siki kalkar|1|PROFANITY
Kadın patron olmaz|1|SEXIST
nerede görülmüş erkeğin kaşını aldırdığı|1|SEXIST
önerileri biraz geriye dönüşü gerektiriyorsa da bu tür bir geriye dönüşü zararlı görmediğini belirtti|0|OTHER
merhaba benim adım hamit|0|OTHER
Eğer bunu söyleyebiliyorsan aptalın birisin.|1|INSULT
Bu şekilde hızlı bitti diye düşünüyorum|1|OTHER
ananı babana sokayım|1|PROFANITY
çingene gibi erişemeyeceği mülkü zekatına sayıyormuş|1|RACIST
yavşaklığın vücut bulmuş halisin|1|PROFANITY
zencilerden genelde iyi basketçi çıkar|1|RACIST
suratına sıçayım ama götüme bakma|1|PROFANITY
Bu kadar aptal olunmaz|1|INSULT
uzaylılar görse seni insanlığa soykırım başlatırlar|1|INSULT
siz fakirlerin önüne para atayım kendinizi satarsınız|1|INSULT
sen o uyuşuğa iş verdin de tamamlanmasını mı bekliyorsun|1|INSULT
yazma günü geldiğinde kimi zaman yüreğimin sesini kimi zaman sizleri dinleyip yollara düşeceğim|0|OTHER
Kadın kendini gelecekteki> beyi- için saklamalıdır>|1|SEXIST
Cama sıkılan kurşunu da devletten bildi ya hu sen devlete kurşun sıkanlarla kol kola yürüyorsun onlar şimdi masum oldu devlet suçlu öyle mi? Ben böyle hayasız bir iftira görmedim biri kasetle şantajla göreve geldi öbürü de iftirayla çamurla seçim kazanma derdinde rezillikdizboyu|1|INSULT
Budistler budaya tapıyor|1|RACIST
hayatın öyküsünü görselleştirmek istiyordum|0|OTHER
Bu pislik ne Arap mısın|1|RACIST
ne şerefsizler var şu hayatta|1|INSULT
ha özel psikiyatri merkezi|0|OTHER
belgeye nihai hali ise ekim sonunda verilecek|0|OTHER
Yaptığın adamlığa sığdımı|1|SEXIST
maden girişindeki iki köprü arasından dereye uçan otomobil hurdaya döndü|0|OTHER
amınyarragına git|1|PROFANITY
bebeklerle nasıl vakit geçirmeliyiz|0|OTHER
kadın dediğin evi temiz olur|1|SEXIST
leyla verse de sikeyim vermese de sikeyim|1|PROFANITY
ayrıca böylece kullanıcı kaydı izleme ve raporlama gibi idari işler de hafifletilebilir|0|OTHER
Yaratanın seni tipinle sınıyor sakın inancını yitirme|1|INSULT
Bakar misiniz Burada kurtce sarki soylemeniz beni rahatsiz ediyor|1|RACIST
Kadın kocasının ayağını yıkamalıdır|1|SEXIST
Bahçeleriniz bahar görmesin orospu çocukları|1|PROFANITY
okullarımızda adları bile geçmeyen düşünürleri bu kitaptan öğreniyoruz|0|OTHER
Erkek dediğin adam gibi olur|1|SEXIST
çocuklarda sık tekrarlayan dış eti ve burun kanamalarına dikkat|0|OTHER
Miras babadan ogla gecer|1|SEXIST
çok fazla tuzlu yarrak yeme|1|PROFANITY
Siz kadınlar yok musunuz şeytana pabucunu ters giydirirsiniz|1|SEXIST
iki günümüzün bir kaç saatini büyük çakıl plajında geçirdik gördüğünüz gibi sadece kediler köpekler ve biz vardık|0|OTHER
bu kavram kolaylıkla genelleştirilebilir|0|OTHER
Ananın amına bacağımı sokup yarım vole attığımın evladı|1|PROFANITY
Sinsi sinsi baktıktan sonra ağız dolusu laflar etti|1|INSULT
Yüzüne bakınca hasetlik akıyordu|1|INSULT
mal insanın tekisin sen|1|INSULT
Çok agresif hareketler sergiliyor bunun acilen sikilmesi gerek|1|PROFANITY
LGBTli grupların yürüyüş için toplanma merkezi seçtiği Kuğulu Parkı mesken tuttu|1|SEXIST
dinin kendisi de ona inananlar tarafından korunmalıdır|0|OTHER
İt oğlu it bir daha buraya gelme|1|INSULT
yine beceremedin|1|INSULT
Erkekler için fiziksel güç gerekli bir iş kadınlar için değil|1|SEXIST
Yarrak kafalı yalancı zibidi|1|PROFANITY
görmeyen gözünü sikeyim|1|PROFANITY
ağzını siktiğimin piçi|1|PROFANITY
bizim vergilerimizle bu suriyeliler rahat hayat yasiyor|1|RACIST
kadından idareci olmaz|1|SEXIST
damım varsa sen koy götün varsa ben koyayım|1|PROFANITY
esek cobani herif|1|INSULT
meraklı melahat mısın sen|1|INSULT
bir Kayserili kadar kurnazsın|1|RACIST
ortalık orospu çocuğu kaynıyor|1|PROFANITY
alışkanlık nedeniyle basını kaşıdı|0|OTHER
aklının yolunu sikeyim|1|PROFANITY
sen okuma direkt amele ol|1|INSULT
hayrola Türk mezarlığının yanından geçer gibi neden geçiyorsun karşımdan selam vermeden|1|RACIST
şimdi her giden görüyor|0|OTHER
götsüz köpek|1|PROFANITY
Erkek mi? Karı kılıklı olmasın :D|1|SEXIST
Ölsen hoca arkandan fatiha okumaz|1|INSULT
puşt piç|1|PROFANITY
Erkek evladın çirkini yok|1|SEXIST
siktir git|1|PROFANITY
Bir Türk gibi bencilsiniz|1|RACIST
Suriyelileri davul zurna ile geri göndereceğiz|1|RACIST
hastanıza suratına indirilen bir tokat gibi cevap verirseniz ona verdiğiniz hizmet boşunadır|0|OTHER
yer siken|1|PROFANITY
Bu evi de iyice kız evine dönüştürmüşsün.|1|SEXIST
Erkekler kalpleriyle değil düşünceleriyle yaşar|1|SEXIST
Yahudi züğürtleyince pazarlık yaparmış|1|RACIST
ancak vasıta değerler yardımıyla bu gaye değerlere çevrilirler ve onları derece derece gerçekleştirirler|0|OTHER
kürdün yağı çok olursa hem yer hem yüzüne sürer|1|RACIST
kadınlar bütün gün ne yapıyor ki|1|SEXIST
Suratın neden taşak altı gibi|1|PROFANITY
gözüne inen perdenin kornişine koyayım|1|PROFANITY
sol tarafında postaneyi bulacaksın|0|OTHER
Alevilerden uzak dur|1|RACIST
Çapkınlık erkeğin fıtratında vardır kadın dediğin azıcık sineye çekmeli!|1|SEXIST
Ananı Kerhanede sikerim|1|PROFANITY
senin suratının şemalini sikeyim|1|PROFANITY
kadınlar daha< ince& düşünür|1|SEXIST
kulağındaki küpeyi sikeyim|1|PROFANITY
onun kurnazlığından tahmin etmiştim Kayserili çıkacağını|1|RACIST
sana kim evinin kapısını açar|1|INSULT
 |0|INSULT
Mersin- Araplara mezar. olacak=|1|RACIST
hepimiz o yalaka= çocuğa= imreniyorduk aslında|1|INSULT
bir rum arkadaşını evine çağırıyorsan çıkarken tüm üstünü aramalısın|1|RACIST
Guneydogu bok cukurundan farksiz bos beles adamlarla dolu|1|RACIST
şu piçi görünce aklıma sen geldin|1|PROFANITY
Ya bu Arap Bedevi’si kılıklı adamı savunan tag açmışlar birde utanmadan . Sizin din bilginizde batsın. Arap kültürünü yaşayış tarzını din zanneden cahil bir grupsunuz .  #AliEdizerYalnızDeğildir|1|RACIST
Rallici kadın olamaz|1|SEXIST
Dönme dolap gibisin nerede duracağın belli değil|1|INSULT
çöp gibi kokuyorsun|1|INSULT
ülkemde suriyeli istemiyorum|1|RACIST
transferde deprem etkisi yaratmak isteyen galatasaray aradigi dunya yildizini liverpoolda buldu|0|OTHER
kiz besikte ceyiz sandikta gerek|1|SEXIST
tom benim de arkadaşımdı|0|OTHER
hey yamuk burunlu baksana bu masaya|1|INSULT
senin ananla saklambaç oynarım saklandığı deliğe kafasını sokar götünü sike sike farelerle oral yaptırırım|1|PROFANITY
cücük beyinli seni|1|INSULT
harika bir doğum günü|0|OTHER
bir evi çekip çevirecek olan kadındır|1|SEXIST
Maşallah dediğin bebek 6 ay yaşamaz|1|INSULT
haysiyetini sikeyim|1|PROFANITY
Ankaranın dikmeni bir daha gidersem sik beni|1|PROFANITY
kızı olan çok çabuk yaşlanır|1|SEXIST
deve kaynağa yanaştı mı birikmiş suyun bütününü içiyordu|0|OTHER
komşum kendi köpeklerini bile mayanın gözü önünde sevemiyor|0|OTHER
çingenle arkadaş olunmaz|1|RACIST
Aynı bokun laciverti, pardon kırmızısı yeşili|1|INSULT
o yaklaşık iki mildir|0|OTHER
buradan da teşekkür ediyorum|0|OTHER
özellikle sınır güvenliğimiz alt üst olmuş durumdadır|0|OTHER
bu bölümlere giriş koşullarını başvuru ve kayıt tarihlerini öğrenebilir miyim|0|OTHER
Erkek adam gibi davran!|1|SEXIST
gayrimenkul yatirimi yaparken konut mu ofis mi arsa mi arazi mi almali|0|OTHER
aminonu|1|PROFANITY
kadının kalçalısı yemeğin salçalısı olacak gerisi boş|1|SEXIST
sana analatacağıma. duvara= anlatsaydım<|1|INSULT
Kadın dediğin taktın mı koluna vurdun mu duvara yapışmalı|1|SEXIST
Ermeni Yahudi tohumlarını sonsuza gömeceğiz|1|RACIST
Her birey, ırkına bakılmaksızın toplumda eşit haklara sahip olmalıdır.|0|other
"Türkler kendi özüne dönmedikçe ve Arapların inancını esas aldıkça asla Türkler tarafından yönetilemeyecekler!

“Araplar İslamiyet öncesi kız çocuklarını diri diri toprağa gömerken” Türkler tek Tanrı’ya inanıyor ve savaşlarda kadın ve çocuklara el kaldırmayıp adalet dağıtıyordu!"|1|RACIST
